"time" "cases"
"1" 1 1675
"2" 2 1956
"3" 3 1587
"4" 4 1875
"5" 5 1140
"6" 6 1492
"7" 7 1635
"8" 8 1285
"9" 9 1718
"10" 10 1421
"11" 11 1469
"12" 12 1721
"13" 13 1675
"14" 14 1454
"15" 15 1567
"16" 16 1680
"17" 17 1265
"18" 18 1777
"19" 19 1461
"20" 20 1522
"21" 21 1464
"22" 22 1548
"23" 23 1476
"24" 24 1273
"25" 25 1350
"26" 26 1369
"27" 27 1422
"28" 28 1922
"29" 29 1578
"30" 30 1397
"31" 31 1395
"32" 32 1243
"33" 33 1400
"34" 34 1681
"35" 35 1611
"36" 36 1465
"37" 37 1201
"38" 38 1336
"39" 39 1756
"40" 40 1627
"41" 41 1763
"42" 42 1387
"43" 43 1500
"44" 44 1370
"45" 45 1500
"46" 46 1466
"47" 47 1810
"48" 48 1317
"49" 49 1425
"50" 50 1701
