"time" "cases"
"1" 1 1513
"2" 2 1713
"3" 3 1399
"4" 4 1361
"5" 5 1589
"6" 6 1608
"7" 7 1926
"8" 8 1705
"9" 9 1295
"10" 10 1455
"11" 11 1494
"12" 12 1354
"13" 13 1672
"14" 14 1376
"15" 15 1380
"16" 16 1579
"17" 17 1466
"18" 18 1524
"19" 19 1718
"20" 20 1419
"21" 21 1266
"22" 22 1365
"23" 23 1414
"24" 24 1500
"25" 25 1602
"26" 26 1498
"27" 27 1704
"28" 28 1534
"29" 29 1320
"30" 30 1388
"31" 31 1421
"32" 32 1405
"33" 33 1474
"34" 34 1518
"35" 35 1458
"36" 36 1491
"37" 37 1420
"38" 38 1304
"39" 39 1373
"40" 40 1437
"41" 41 1428
"42" 42 1404
"43" 43 1531
"44" 44 1848
"45" 45 1409
"46" 46 1459
"47" 47 1386
"48" 48 1199
"49" 49 1514
"50" 50 1335
