"time" "cases"
"1" 1 1718
"2" 2 1611
"3" 3 1755
"4" 4 1507
"5" 5 1722
"6" 6 1610
"7" 7 1376
"8" 8 1182
"9" 9 1236
"10" 10 1633
"11" 11 1574
"12" 12 1591
"13" 13 1681
"14" 14 1483
"15" 15 1746
"16" 16 1747
"17" 17 1611
"18" 18 1518
"19" 19 1458
"20" 20 1620
"21" 21 1546
"22" 22 1310
"23" 23 1402
"24" 24 1676
"25" 25 1456
"26" 26 1485
"27" 27 1534
"28" 28 1315
"29" 29 1311
"30" 30 1325
"31" 31 1183
"32" 32 1473
"33" 33 1611
"34" 34 1739
"35" 35 1279
"36" 36 1346
"37" 37 1593
"38" 38 1339
"39" 39 1425
"40" 40 1561
"41" 41 1454
"42" 42 1473
"43" 43 1465
"44" 44 1625
"45" 45 1354
"46" 46 1651
"47" 47 1347
"48" 48 1303
"49" 49 1444
"50" 50 1339
