"time" "cases"
"1" 1 2248
"2" 2 1001
"3" 3 566
"4" 4 1089
"5" 5 2771
"6" 6 2270
"7" 7 1004
"8" 8 549
"9" 9 1123
"10" 10 2700
"11" 11 2357
"12" 12 934
"13" 13 464
"14" 14 817
"15" 15 3074
"16" 16 2596
"17" 17 1091
"18" 18 404
"19" 19 768
"20" 20 3093
"21" 21 2870
"22" 22 1016
"23" 23 361
"24" 24 1079
"25" 25 2383
"26" 26 3116
"27" 27 785
"28" 28 455
"29" 29 1042
"30" 30 2980
"31" 31 2163
"32" 32 1158
"33" 33 506
"34" 34 957
"35" 35 2522
"36" 36 2892
"37" 37 943
"38" 38 413
"39" 39 722
"40" 40 2713
"41" 41 3003
"42" 42 797
"43" 43 500
"44" 44 820
"45" 45 2242
"46" 46 2267
"47" 47 1153
"48" 48 518
"49" 49 990
"50" 50 2895
