"time" "cases"
"1" 1 2593
"2" 2 993
"3" 3 507
"4" 4 961
"5" 5 2617
"6" 6 3007
"7" 7 885
"8" 8 605
"9" 9 1035
"10" 10 2806
"11" 11 2055
"12" 12 1106
"13" 13 583
"14" 14 1230
"15" 15 2794
"16" 16 2330
"17" 17 987
"18" 18 456
"19" 19 904
"20" 20 2020
"21" 21 2321
"22" 22 997
"23" 23 472
"24" 24 1021
"25" 25 2555
"26" 26 2100
"27" 27 913
"28" 28 479
"29" 29 1010
"30" 30 2640
"31" 31 2355
"32" 32 1143
"33" 33 452
"34" 34 926
"35" 35 2616
"36" 36 2424
"37" 37 1162
"38" 38 543
"39" 39 854
"40" 40 2783
"41" 41 2665
"42" 42 1129
"43" 43 514
"44" 44 986
"45" 45 2599
"46" 46 2065
"47" 47 1020
"48" 48 437
"49" 49 923
"50" 50 1951
